Cultivo;Grupo
ACELGA;Muy_alta
AGUACATE;Baja
AJO;Baja
ALBARICOQUERO;Baja
ALCACHOFA;Media
ALGARROBO;Baja
ALMENDRO;Media
ARROZ;Media
BERENJENA;Moderada
BONIATO;Media
CALABACÍN;Baja
CALABAZA;Baja
CEBOLLA;Baja
CEBOLLETA;Media
CEREZO;Muy_baja
CIRUELO;Baja
CLEMENTINA;Baja
COL MILÁN;Alta
COLIFLOR;Moderada
FRESA;Muy_alta
GARBANZO;Muy_baja
GIRASOL;Muy_baja
GRANADO;Moderada
GUISANTE;Media
HABA;Baja
HIGUERA;Baja
JUDÍA ESCARLATA;Media
LECHUGA;Alta
LENTEJA;Muy_baja
LIMONERO;Baja
MAÍZ;Muy_baja
MANDARINO;Baja
MANZANO;Baja
MELOCOTONERO;Baja
MELÓN;Baja
NARANJO;Baja
OLIVO;Baja
PATATA;Moderada
PEPINO;Baja
PERAL;Baja
PEREJIL;Alta
PIMIENTO;Media
PUERRO;Alta
SANDÍA;Baja
TOMATE;Media
VIÑA;Media
